comp,yr,conc,angle,radius,calc_x,calc_y
Chopin,1846,1,3.14159265358979,32,-32,0
Mendelssohn,1846,2,3.14159265358979,24,-24,0
Mendelssohn,1847,1,3.12374269533076,24,-23.9961766494001,0.428376249092311
Mendelssohn,1852,2,3.0344929040356,24,-23.8624872425255,2.5654829175627
Chopin,1854,1,2.99879298751753,32,-31.6742861401898,4.55407482474513
Beethoven,1855,1,2.9809430292585,38,-37.510695967371,6.07846099300269
Chopin,1855,1,2.9809430292585,32,-31.5879544988388,5.11870399410753
Henselt,1857,1,2.94524311274043,1,-0.98078528040323,0.195090322016128
Henselt,1858,1,2.9273931544814,1,-0.97714686597116,0.212565289552977
Chopin,1859,1,2.90954319622236,32,-31.1423078491009,7.35912099586819
Mendelssohn,1859,1,2.90954319622236,24,-23.3567308868257,5.51934074690115
Schumann,1859,1,2.90954319622236,31,-30.1691107288165,7.12914846474731
Beethoven,1860,1,2.89169323796333,38,-36.8196174676973,9.39764702106018
Schumann,1860,1,2.89169323796333,31,-30.0370563552267,7.66650151718067
Chopin,1861,1,2.8738432797043,32,-30.8598005662114,8.46597360104894
Mozart,1861,1,2.8738432797043,37,-35.681644404682,9.78878197621283
Beethoven,1862,1,2.85599332144527,38,-36.4607329973509,10.7058371599743
Mozart,1862,1,2.85599332144527,37,-35.5012400237364,10.4241046031329
Beethoven,1863,1,2.83814336318623,38,-36.2638359752108,11.3549196546257
Mendelssohn,1863,1,2.83814336318623,24,-22.9034753527647,7.1715282029215
Beethoven,1865,1,2.80244344666817,38,-35.8354460063207,12.6420255310641
Mozart,1865,1,2.80244344666817,37,-34.8924079535227,12.3093406486677
Beethoven,1866,1,2.78459348840913,38,-35.6040895499909,13.2796388247657
Mendelssohn,1866,1,2.78459348840913,24,-22.4867933999943,8.38714031037837
Mozart,1866,1,2.78459348840913,37,-34.6671398249912,12.9301746451666
Beethoven,1867,1,2.7667435301501,38,-35.3613891838995,13.9130210588784
Chopin,1867,1,2.7667435301501,32,-29.7780119443364,11.7162282601081
Liszt,1867,1,2.7667435301501,33,-30.7085748175969,12.0823603932365
Mozart,1867,2,2.7667435301501,37,-34.430826310639,13.54688892575
Schumann,1868,1,2.74889357189107,31,-28.6402655078499,11.8631864033178
Beethoven,1869,2,2.73104361363204,38,-34.8422696216361,15.1662865465878
Liszt,1869,1,2.73104361363204,33,-30.2577604608945,13.1707225273
Mendelssohn,1869,1,2.73104361363204,24,-22.0056439715597,9.57870729258178
Beethoven,1870,3,2.713193655373,38,-34.5660158234717,15.7857704940717
Chopin,1870,1,2.713193655373,32,-29.1082238513446,13.2932804160604
Liszt,1870,1,2.713193655373,33,-30.0178558466991,13.7086954290623
Beethoven,1871,2,2.69534369711397,38,-34.2787488588626,16.4002248969648
Rubinstein,1871,1,2.69534369711397,23,-20.7476637829958,9.92645191132081
Mozart,1872,1,2.67749373885494,37,-33.0863349848093,16.5618367723204
Rubinstein,1872,1,2.67749373885494,23,-20.5671812067734,10.2951958314424
Schumann,1872,1,2.67749373885494,31,-27.7209833656511,13.8761335119441
Chopin,1873,1,2.6596437805959,32,-28.3549852779137,14.8322220145634
Chopin,1874,1,2.64179382233687,32,-28.0857276661522,15.3359675750418
Henselt,1874,1,2.64179382233687,1,-0.877678989567256,0.479248986720057
Brahms,1875,1,2.62394386407784,36,-31.2834617877156,17.8141802667576
Liszt,1875,1,2.62394386407784,33,-28.6765066387393,16.3296652445278
Schumann,1875,1,2.62394386407784,31,-26.9385365394218,15.3399885630413
Beethoven,1876,1,2.60609390581881,38,-32.6805411278926,19.3902612563142
Chopin,1876,2,2.60609390581881,32,-27.5204556866464,16.3286410579488
Saint-Saëns,1876,1,2.60609390581881,27,-23.2203844856079,13.7772908926443
Beethoven,1878,3,2.57039398930074,38,-31.9676342475849,20.5443510633127
Grieg,1879,2,2.55254403104171,28,-23.2811491444713,15.5559665245489
Liszt,1879,1,2.55254403104171,33,-27.438497205984,18.3338176896469
Schumann,1879,1,2.55254403104171,31,-25.7755579813789,17.2226772236077
Tchaikovsky,1879,1,2.55254403104171,34,-28.2699668182865,18.8893879226665
Beethoven,1880,1,2.53469407278267,38,-31.2139894545787,21.6722602035286
Chopin,1880,1,2.53469407278267,32,-26.2854648038557,18.2503243819189
Henselt,1880,1,2.53469407278267,1,-0.821420775120492,0.570322636934964
Saint-Saëns,1881,4,2.51684411452364,27,-21.8999760202078,15.7921198803176
Schumann,1881,1,2.51684411452364,31,-25.1444169120904,18.1316931959203
Tchaikovsky,1881,1,2.51684411452364,34,-27.5777475810024,19.8863731826222
Beethoven,1882,1,2.49899415626461,38,-30.4205671551257,22.7725513274312
Brahms,1882,1,2.49899415626461,36,-28.819484673277,21.5739959944085
Beethoven,1883,1,2.48114419800558,38,-30.0092534628928,23.3119005359893
Chopin,1883,2,2.48114419800558,32,-25.2709502845413,19.6310741355699
Schumann,1883,1,2.48114419800558,31,-24.4812330881494,19.0176030688334
Beethoven,1884,2,2.46329423974654,38,-29.5883784458907,23.8438222804724
Mendelssohn,1884,2,2.46329423974654,24,-18.6873969131941,15.0592561771405
Rubinstein,1884,1,2.46329423974654,23,-17.9087553751444,14.4317871697596
Liszt,1885,1,2.44544428148751,33,-25.3214872264736,21.1618119413138
Mozart,1885,1,2.44544428148751,37,-28.3907584054401,23.7268800554125
Beethoven,1886,1,2.42759432322848,38,-28.7184838254618,24.8847078899208
Rubinstein,1886,2,2.42759432322848,23,-17.3822402101479,15.0617968807416
Schumann,1886,1,2.42759432322848,31,-23.428236804982,20.3006827523038
Brahms,1887,1,2.40974436496944,36,-26.7818602560426,24.0568485306328
Chopin,1887,2,2.40974436496944,32,-23.8060980053712,21.3838653605624
Henselt,1887,2,2.40974436496944,1,-0.743940562667849,0.668245792517576
Liszt,1887,2,2.40974436496944,33,-24.550038568039,22.05211115308
Litolff,1887,2,2.40974436496944,6,-4.4636433760071,4.00947475510546
Beethoven,1888,1,2.39189440671041,38,-27.8119918429056,25.8938817045679
Chopin,1888,2,2.39189440671041,32,-23.4206247098152,21.8053740670045
Rubinstein,1888,2,2.39189440671041,23,-16.8335740101797,15.6726126106595
Tchaikovsky,1888,1,2.39189440671041,34,-24.8844137541787,23.1682099461923
Beethoven,1889,2,2.37404444845138,38,-27.3453810547914,26.3861731777887
Chopin,1889,1,2.37404444845138,32,-23.027689309298,22.2199353076115
Rubinstein,1889,1,2.37404444845138,23,-16.5511516910579,15.9705785023458
Beethoven,1890,3,2.35619449019234,38,-26.8700576850888,26.8700576850888
Henselt,1890,1,2.35619449019234,1,-0.707106781186547,0.707106781186548
Liszt,1890,2,2.35619449019234,33,-23.3345237791561,23.3345237791561
Beethoven,1891,1,2.33834453193331,38,-26.3861731777887,27.3453810547914
Chopin,1891,4,2.33834453193331,32,-22.2199353076115,23.027689309298
Paderewski,1891,1,2.33834453193331,5,-3.4718648918143,3.59807645457782
